SRA Project,Annotation,Runs
SRP030125,air,"SRR1000254,SRR1000260,SRR1000269,SRR999205,SRR999207,SRR999208,SRR999210,SRR999212,SRR999213,SRR999215,SRR999217,SRR999219"
SRP102564,air,SRR5381720
SRP102573,air,SRR5381739
SRP060568,air,"SRR2183670,SRR2183672,SRR2183673,SRR2183674,SRR2183675,SRR2183676,SRR2183677,SRR2183679,SRR2183680,SRR2183681,SRR2183682,SRR2183683,SRR2183684,SRR2183685,SRR2183687,SRR2183688,SRR2183689,SRR2183690,SRR2183691,SRR2183692,SRR2183694,SRR2183695,SRR2183696,SRR2183697,SRR2183698,SRR2183699,SRR2183700,SRR2183701,SRR2183703,SRR2183704,SRR2183705,SRR2183706,SRR2183708,SRR2183709,SRR2183711,SRR2183712,SRR2183713,SRR2183714,SRR2183715,SRR2183716,SRR2183717,SRR2183719,SRR2183720,SRR2183721,SRR2183722,SRR2183723,SRR2183724,SRR2183725,SRR2183727,SRR2183728,SRR2183729,SRR2183730,SRR2183731,SRR2183732,SRR2183733,SRR2183734,SRR2183735,SRR2183736,SRR2183737,SRR2183738"
SRP102567,air,SRR5381730
SRP039009,air,SRR1300040
SRP000664,air,"SRR014853,SRR014854,SRR014855,SRR014856"
SRP102571,air,SRR5381735
ERP008710,animal,"ERR675308,ERR675309,ERR675310,ERR675311,ERR675312,ERR675313,ERR675314,ERR675315,ERR675316,ERR675317,ERR675318,ERR675319,ERR675320,ERR675321,ERR675322,ERR675323,ERR675324,ERR675325,ERR675326,ERR675327,ERR675328,ERR675329,ERR675330,ERR675331,ERR675332,ERR675333,ERR675334,ERR675335,ERR675336,ERR675338,ERR675340,ERR675341,ERR675342,ERR675343,ERR675344,ERR675345,ERR675346,ERR675347,ERR675348,ERR675349,ERR675350,ERR675351,ERR675352,ERR675353,ERR675354,ERR675355,ERR675357,ERR675358,ERR675359,ERR675360,ERR675361,ERR675362,ERR675363,ERR675364,ERR675365,ERR675366,ERR675367,ERR675368,ERR675369,ERR675370,ERR675371,ERR675372,ERR675373,ERR675374,ERR675375,ERR675376,ERR675377,ERR675378,ERR675379,ERR675380,ERR675381,ERR675382,ERR675383,ERR675384,ERR675385,ERR675386,ERR675387,ERR675388,ERR675389,ERR675390,ERR675391,ERR675392,ERR675393,ERR675394,ERR675395,ERR675396,ERR675397,ERR675398,ERR675399,ERR675400,ERR675401,ERR675402,ERR675403,ERR675404,ERR675405,ERR675406,ERR675407,ERR675408,ERR675409,ERR675410,ERR675411,ERR675412,ERR675413,ERR675414,ERR675415,ERR675416,ERR675418,ERR675419,ERR675420,ERR675421,ERR675422,ERR675423,ERR675424,ERR675425,ERR675426,ERR675427,ERR675428,ERR675429,ERR675430,ERR675431,ERR675432,ERR675433,ERR675434,ERR675435,ERR675436,ERR675437,ERR675438,ERR675439,ERR675440,ERR675441,ERR675442,ERR675443,ERR675444,ERR675445,ERR675446,ERR675447,ERR675448,ERR675449,ERR675450,ERR675451,ERR675452,ERR675453,ERR675454,ERR675455,ERR675456,ERR675457,ERR675458,ERR675459,ERR675460,ERR675461,ERR675462,ERR675463,ERR675464,ERR675465,ERR675466,ERR675467,ERR675468,ERR675469,ERR675470,ERR675471,ERR675472,ERR675473,ERR675474,ERR675475,ERR675476,ERR675477,ERR675478,ERR675479,ERR675480,ERR675481,ERR675482,ERR675483,ERR675484,ERR675485,ERR675486,ERR675487,ERR675488,ERR675489,ERR675490,ERR675491,ERR675492,ERR675493,ERR675494,ERR675495,ERR675496,ERR675497,ERR675498,ERR675499,ERR675500,ERR675501,ERR675502,ERR675503,ERR675504,ERR675505,ERR675506,ERR675507,ERR675508,ERR675509,ERR675510,ERR675511,ERR675512,ERR675513,ERR675514,ERR675515,ERR675516,ERR675517,ERR675518,ERR675519,ERR675520,ERR675521,ERR675522,ERR675523,ERR675524,ERR675525,ERR675526,ERR675527,ERR675528,ERR675529,ERR675530,ERR675531,ERR675532,ERR675533,ERR675534,ERR675535,ERR675536,ERR675537,ERR675538,ERR675539,ERR675540,ERR675541,ERR675542,ERR675543,ERR675544,ERR675545,ERR675546,ERR675547,ERR675548,ERR675549,ERR675550,ERR675551,ERR675552,ERR675553,ERR675554,ERR675555,ERR675556,ERR675557,ERR675558,ERR675559,ERR675560,ERR675561,ERR675562,ERR675563,ERR675564,ERR675565,ERR675566,ERR675567,ERR675568,ERR675569,ERR675570,ERR675571,ERR675572,ERR675573,ERR675574,ERR675575,ERR675576,ERR675577,ERR675578,ERR675579,ERR675580,ERR675581,ERR675582,ERR675583,ERR675584,ERR675585,ERR675586,ERR675587,ERR675588,ERR675589,ERR675590,ERR675591,ERR675592,ERR675593,ERR675594,ERR675595,ERR675596,ERR675597,ERR675598,ERR675599,ERR675600,ERR675601,ERR675602,ERR675603,ERR675604,ERR675605,ERR675606,ERR675608,ERR675609,ERR675610,ERR675611,ERR675612,ERR675613,ERR675614,ERR675615,ERR675616,ERR675617,ERR675618,ERR675619,ERR675620,ERR675621,ERR675622,ERR675623,ERR675624,ERR675625,ERR675626,ERR675627,ERR675628,ERR675629,ERR675630,ERR675631,ERR675632,ERR675633,ERR675634,ERR675635,ERR675636,ERR675637,ERR675638,ERR675639,ERR675640,ERR675641,ERR675642,ERR675643,ERR675644,ERR675645,ERR675646,ERR675647,ERR675648,ERR675649,ERR675650,ERR675651,ERR675652,ERR675653,ERR675654,ERR675655,ERR675656,ERR675657,ERR675658,ERR675659,ERR675660,ERR675661,ERR675662,ERR675663,ERR675664,ERR675665,ERR675666,ERR675667,ERR675668,ERR675669,ERR675670,ERR675671,ERR675672,ERR675673,ERR675674,ERR675675,ERR675676,ERR675677,ERR675678,ERR675679,ERR675680,ERR675681,ERR675682,ERR675683,ERR675684,ERR675685,ERR675686,ERR675687"
SRP012966,animal,"SRR495409,SRR496625,SRR496626,SRR496699,SRR496700,SRR496701,SRR496702,SRR496703"
